name,brand,category,price,old_price,badge,rating,reviews,image,in_stock,stock_quantity,reorder_level,specs
"Razer DeathAdder V3 Pro",Razer,mouse,1399.00,1599.00,Hot,4.9,2400,images/products/razer-deathadder-v3-pro.png,1,25,5,"{""Sensor"": ""Focus Pro 30K Optical"", ""DPI"": ""30000"", ""Buttons"": ""8 Programmable"", ""Weight"": ""63g"", ""Connection"": ""HyperSpeed Wireless + Wired"", ""Battery"": ""90 hours""}"
"Logitech G Pro X Superlight 2",Logitech,mouse,1499.00,,Pro Choice,4.9,3100,images/products/logitech-g-pro-x-superlight-2.png,1,20,5,"{""Sensor"": ""HERO 2"", ""DPI"": ""32000"", ""Buttons"": ""5 Programmable"", ""Weight"": ""60g"", ""Connection"": ""LIGHTSPEED Wireless"", ""Battery"": ""95 hours""}"
"SteelSeries Aerox 5 Wireless",SteelSeries,mouse,999.00,1199.00,Lightweight,4.7,890,images/products/steelseries-aerox-5.png,1,18,5,"{""Sensor"": ""TrueMove Air"", ""DPI"": ""18000"", ""Buttons"": ""9 Programmable"", ""Weight"": ""74g"", ""Connection"": ""2.4GHz Wireless + Bluetooth"", ""Battery"": ""180 hours""}"
"Corsair Dark Core RGB Pro",Corsair,mouse,1199.00,,Versatile,4.6,1200,images/products/corsair-dark-core-rgb-pro.png,1,15,5,"{""Sensor"": ""PixArt PMW3392"", ""DPI"": ""18000"", ""Buttons"": ""9 Programmable"", ""Weight"": ""133g"", ""Connection"": ""Slipstream Wireless + Bluetooth + USB"", ""Battery"": ""50 hours""}"
"Razer Viper V2 Pro",Razer,mouse,1299.00,,Esports,4.8,1750,images/products/razer-viper-v2-pro.png,1,15,5,"{""Sensor"": ""Focus Pro 30K"", ""DPI"": ""30000"", ""Buttons"": ""6 Programmable"", ""Weight"": ""58g"", ""Connection"": ""HyperSpeed Wireless"", ""Battery"": ""80 hours""}"
"Logitech MX Master 3S",Logitech,mouse,1099.00,1299.00,Best Seller,4.9,5600,images/products/logitech-mx-master-3s.png,1,30,8,"{""Sensor"": ""Darkfield 8000 DPI"", ""DPI"": ""8000"", ""Buttons"": ""7 + MagSpeed Scroll"", ""Weight"": ""141g"", ""Connection"": ""Bluetooth + Logi Bolt USB"", ""Battery"": ""70 days""}"
"HyperX Pulsefire Haste 2",HyperX,mouse,599.00,799.00,Sale,4.7,2100,images/products/hyperx-pulsefire-haste-2.png,1,25,8,"{""Sensor"": ""HyperX 26K"", ""DPI"": ""26000"", ""Buttons"": ""6 Programmable"", ""Weight"": ""53g"", ""Connection"": ""USB-C Wired"", ""Battery"": ""N/A (Wired)""}"
"Redragon M612 Predator",Redragon,mouse,349.00,,Budget Pick,4.5,6200,images/products/redragon-m612.png,1,50,15,"{""Sensor"": ""Optical"", ""DPI"": ""11000"", ""Buttons"": ""11 Programmable"", ""Weight"": ""135g"", ""Connection"": ""USB-A Wired"", ""Battery"": ""N/A (Wired)""}"
"Glorious Model O 2",Glorious,mouse,799.00,,Ultralight,4.8,1450,images/products/glorious-model-o-2.png,1,18,5,"{""Sensor"": ""BAMF 2.0"", ""DPI"": ""26000"", ""Buttons"": ""6 Programmable"", ""Weight"": ""56g"", ""Connection"": ""Wireless 2.4GHz + Bluetooth"", ""Battery"": ""210 hours""}"
"Razer Basilisk V3 Pro",Razer,mouse,1599.00,1799.00,Wireless,4.8,1100,images/products/razer-basilisk-v3-pro.png,1,10,3,"{""Sensor"": ""Focus Pro 30K"", ""DPI"": ""30000"", ""Buttons"": ""11 Programmable"", ""Weight"": ""112g"", ""Connection"": ""HyperSpeed Wireless + Bluetooth + USB"", ""Battery"": ""90 hours""}"
"Logitech G502 X Plus",Logitech,mouse,1199.00,,Classic,4.8,3800,images/products/logitech-g502-x-plus.png,1,15,5,"{""Sensor"": ""HERO 25K"", ""DPI"": ""25600"", ""Buttons"": ""13 Programmable"", ""Weight"": ""106g"", ""Connection"": ""USB-A Wired"", ""Battery"": ""N/A (Wired)""}"
"Zowie EC2-CW",Zowie,mouse,899.00,,Esports,4.7,980,images/products/zowie-ec2-cw.png,1,12,3,"{""Sensor"": ""PixArt 3395"", ""DPI"": ""3200"", ""Buttons"": ""5"", ""Weight"": ""77g"", ""Connection"": ""Wireless 2.4GHz + USB-C"", ""Battery"": ""70 hours""}"
