name,brand,price,old_price,image,usage_category,portability_tier,screen_size,screen_quality,gpu_tier,battery_wh,weight_kg,specs,stock_quantity,in_stock
"HP Omen 16",HP,16500.00,18000.00,images/products/omen16.png,gaming,desktop_replacement,16.1,high_refresh,dedicated,83,2.4,"{""CPU"": ""Intel Core i7-13700HX (16 Cores)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4070 8GB GDDR6""}",7,1
"HP Victus 15",HP,9700.00,10500.00,images/products/victus15.png,gaming,standard,15.6,high_refresh,dedicated,70,2.29,"{""CPU"": ""AMD Ryzen 5 7535HS (6 Cores)"", ""RAM"": ""8GB DDR5"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6""}",13,1
"HP EliteBook 840 G10",HP,12500.00,13999.00,images/products/elitebook840.png,business,ultralight,14,standard,integrated,51,1.38,"{""CPU"": ""Intel Core i5-1345U (10 Cores)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB PCIe Gen4 SSD"", ""GPU"": ""Intel Iris Xe Graphics""}",8,1
"HP EliteBook 1040 G10",HP,18000.00,19999.00,images/products/elitebook1040.png,business,ultralight,14,oled,integrated,68,1.3,"{""CPU"": ""Intel Core i7-1365U (10 Cores)"", ""RAM"": ""32GB LPDDR5"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""Intel Iris Xe Graphics""}",5,1
"Dell Inspiron 15",Dell,7500.00,,images/products/inspiron15.png,student,standard,15.6,standard,integrated,54,1.91,"{""CPU"": ""Intel Core i5-1335U (10 Cores)"", ""RAM"": ""8GB DDR4"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""Intel Iris Xe Graphics""}",15,1
"Dell Inspiron 16 Plus",Dell,11000.00,12500.00,images/products/inspiron16plus.png,creative,standard,16,oled,dedicated,86,2,"{""CPU"": ""Intel Core i7-13700H (14 Cores)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4050 6GB GDDR6""}",9,1
"Dell XPS 13",Dell,16000.00,17500.00,images/products/xps13.png,business,ultralight,13.4,oled,integrated,55,1.17,"{""CPU"": ""Intel Core Ultra 7 155H (16 Cores)"", ""RAM"": ""16GB LPDDR5"", ""Storage"": ""512GB PCIe Gen4 SSD"", ""GPU"": ""Intel Arc Graphics""}",6,1
"Dell XPS 15",Dell,22000.00,24999.00,images/products/xps15.png,creative,standard,15.6,oled,dedicated,86,1.86,"{""CPU"": ""Intel Core i7-13700H (14 Cores)"", ""RAM"": ""32GB DDR5"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6""}",5,1
"Dell Latitude 5540",Dell,11500.00,12999.00,images/products/latitude5540.png,business,standard,15.6,standard,integrated,54,1.73,"{""CPU"": ""Intel Core i5-1345U (10 Cores)"", ""RAM"": ""16GB DDR4"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""Intel Iris Xe Graphics""}",8,1
"Lenovo ThinkPad E14 Gen 5",Lenovo,9500.00,10500.00,images/products/thinkpad-e14.png,business,standard,14,standard,integrated,57,1.64,"{""CPU"": ""AMD Ryzen 5 7530U (6 Cores)"", ""RAM"": ""16GB DDR4"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""AMD Radeon Graphics""}",11,1
"Lenovo IdeaPad Slim 3",Lenovo,4500.00,,images/products/ideapad-slim3.png,student,standard,15.6,standard,integrated,38,1.7,"{""CPU"": ""Intel Core i3-1215U (6 Cores)"", ""RAM"": ""8GB DDR4"", ""Storage"": ""256GB SSD"", ""GPU"": ""Intel UHD Graphics""}",18,1
"Lenovo IdeaPad Gaming 3",Lenovo,8500.00,9500.00,images/products/ideapad-gaming3.png,gaming,standard,15.6,high_refresh,dedicated,45,2.2,"{""CPU"": ""AMD Ryzen 5 6600H (6 Cores)"", ""RAM"": ""8GB DDR5"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""NVIDIA GeForce RTX 3050 4GB GDDR6""}",14,1
"ASUS Vivobook 15",ASUS,4800.00,,images/products/vivobook15.png,student,standard,15.6,standard,integrated,42,1.8,"{""CPU"": ""Intel Core i3-1215U (6 Cores)"", ""RAM"": ""8GB DDR4"", ""Storage"": ""256GB PCIe SSD"", ""GPU"": ""Intel UHD Graphics""}",20,1
"ASUS Vivobook Pro 15 OLED",ASUS,12000.00,13500.00,images/products/vivobook-pro15.png,creative,standard,15.6,oled,dedicated,70,1.8,"{""CPU"": ""AMD Ryzen 5 7535HS (6 Cores)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""NVIDIA GeForce RTX 3050 6GB GDDR6""}",9,1
"ASUS ZenBook 14 OLED",ASUS,13500.00,14999.00,images/products/zenbook14.png,business,ultralight,14,oled,integrated,75,1.39,"{""CPU"": ""Intel Core Ultra 5 125H (14 Cores)"", ""RAM"": ""16GB LPDDR5X"", ""Storage"": ""512GB PCIe Gen4 SSD"", ""GPU"": ""Intel Arc Graphics""}",10,1
"ASUS ZenBook S 13 OLED",ASUS,16000.00,17500.00,images/products/zenbook-s13.png,business,ultralight,13.3,oled,integrated,63,1,"{""CPU"": ""AMD Ryzen 7 7745U (8 Cores)"", ""RAM"": ""16GB LPDDR5"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""AMD Radeon 780M""}",6,1
"Acer Nitro 5",Acer,9200.00,10500.00,images/products/nitro5.png,gaming,standard,15.6,high_refresh,dedicated,57,2.5,"{""CPU"": ""AMD Ryzen 5 7535HS (6 Cores)"", ""RAM"": ""8GB DDR5"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""NVIDIA GeForce RTX 4050 6GB GDDR6""}",14,1
"Acer Nitro V 15",Acer,8800.00,9800.00,images/products/nitro-v15.png,gaming,standard,15.6,high_refresh,dedicated,57,2.4,"{""CPU"": ""Intel Core i5-13420H (12 Cores)"", ""RAM"": ""8GB DDR5"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""NVIDIA GeForce RTX 4050 6GB GDDR6""}",11,1
"Acer Aspire 5",Acer,5200.00,,images/products/aspire5.png,student,standard,15.6,standard,integrated,50,1.8,"{""CPU"": ""AMD Ryzen 5 7530U (6 Cores)"", ""RAM"": ""8GB DDR4"", ""Storage"": ""256GB PCIe SSD"", ""GPU"": ""AMD Radeon Graphics""}",17,1
"Acer Swift Go 14",Acer,8500.00,9500.00,images/products/swift-go14.png,business,ultralight,14,oled,integrated,65,1.4,"{""CPU"": ""AMD Ryzen 5 7530U (6 Cores)"", ""RAM"": ""16GB DDR4"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""AMD Radeon Graphics""}",9,1
"Acer Predator Helios 16",Acer,22000.00,24500.00,images/products/predator-helios16.png,gaming,desktop_replacement,16,high_refresh,dedicated,90,2.6,"{""CPU"": ""Intel Core i9-13900HX (24 Cores)"", ""RAM"": ""32GB DDR5"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4080 12GB GDDR6 (175W)""}",4,1
"HP Pavilion 15",HP,5500.00,,images/products/pavilion15.png,student,standard,15.6,standard,integrated,41,1.75,"{""CPU"": ""Intel Core i5-1235U (10 Cores)"", ""RAM"": ""8GB DDR4"", ""Storage"": ""256GB SSD"", ""GPU"": ""Intel Iris Xe Graphics""}",16,1
"HP Pavilion Plus 14",HP,8800.00,9500.00,images/products/pavilion-plus14.png,student,ultralight,14,oled,integrated,51,1.42,"{""CPU"": ""Intel Core i5-13500H (12 Cores)"", ""RAM"": ""16GB DDR4"", ""Storage"": ""512GB PCIe SSD"", ""GPU"": ""Intel Iris Xe Graphics""}",10,1
"MacBook Air M3 13",Apple,16000.00,17500.00,images/products/macbook-air-m3-13.png,business,ultralight,13.6,standard,integrated,52,1.24,"{""CPU"": ""Apple M3 (8-Core CPU)"", ""RAM"": ""16GB Unified Memory"", ""Storage"": ""512GB SSD"", ""GPU"": ""Apple M3 10-Core GPU""}",10,1
"MacBook Air M3 15",Apple,19500.00,21000.00,images/products/macbook-air-m3-15.png,business,ultralight,15.3,standard,integrated,66,1.51,"{""CPU"": ""Apple M3 (8-Core CPU)"", ""RAM"": ""16GB Unified Memory"", ""Storage"": ""512GB SSD"", ""GPU"": ""Apple M3 10-Core GPU""}",8,1
"MacBook Pro M4 14",Apple,22000.00,23999.00,images/products/macbook-pro-m4-14.png,creative,ultralight,14.2,oled,integrated,70,1.55,"{""CPU"": ""Apple M4 (10-Core CPU)"", ""RAM"": ""16GB Unified Memory"", ""Storage"": ""512GB SSD"", ""GPU"": ""Apple M4 10-Core GPU""}",7,1
"MacBook Pro M4 Pro 16",Apple,34000.00,36999.00,images/products/macbook-pro-m4-16.png,creative,standard,16.2,oled,integrated,88,2.14,"{""CPU"": ""Apple M4 Pro (14-Core CPU)"", ""RAM"": ""24GB Unified Memory"", ""Storage"": ""512GB SSD"", ""GPU"": ""Apple M4 Pro 20-Core GPU""}",5,1
"Samsung Galaxy Book4 Pro",Samsung,17000.00,18500.00,images/products/galaxy-book4-pro.png,business,ultralight,14,oled,integrated,63,1.17,"{""CPU"": ""Intel Core Ultra 7 155H (16 Cores)"", ""RAM"": ""16GB LPDDR5"", ""Storage"": ""512GB PCIe Gen4 SSD"", ""GPU"": ""Intel Arc Graphics""}",6,1
"Samsung Galaxy Book4 360",Samsung,13500.00,14999.00,images/products/galaxy-book4-360.png,business,ultralight,15.6,oled,integrated,68,1.59,"{""CPU"": ""Intel Core Ultra 5 125H (14 Cores)"", ""RAM"": ""16GB LPDDR5"", ""Storage"": ""256GB PCIe SSD"", ""GPU"": ""Intel Arc Graphics""}",7,1
